swc_id,x,y,z,source_region,source_region_withCorticalRegion
SEU-ALLEN_local_201585_15266_23516_9584_CCFv3.swc,11214.625,3243.55,6140.2,CENT,CENT3
SEU-ALLEN_local_201585_15267_27314_10207_CCFv3.swc,12299.524,2973.95,7875.35,AN,ANcr2
SEU-ALLEN_local_201585_15268_25166_10226_CCFv3.swc,12186.625,3038.35,6863.1,DEC,DEC
SEU-ALLEN_local_201585_15268_27422_9727_CCFv3.swc,11584.575,3095.275,7900.375,fiber tracts,arb
SEU-ALLEN_local_201585_15268_27624_10130_CCFv3.swc,12199.0,2987.075,8018.7,AN,ANcr2
SEU-ALLEN_local_201585_15269_20338_10822_CCFv3.swc,12909.551,2958.675,4476.15,FOTU,FOTU
SEU-ALLEN_local_201585_15270_26335_10702_CCFv3.swc,12969.826,2837.75,7427.4,PRM,PRM
SEU-ALLEN_local_201585_15271_17892_10533_CCFv3.swc,12435.625,3189.125,3409.475,AN,ANcr2
SEU-ALLEN_local_201585_15271_25777_10098_CCFv3.swc,12039.775,3060.925,7142.7,fiber tracts,arb
SEU-ALLEN_local_201585_15272_20633_10740_CCFv3.swc,12782.625,2982.45,4634.8,FOTU,FOTU
SEU-ALLEN_local_201585_15273_17587_10844_CCFv3.swc,12898.975,3064.25,3167.65,AN,ANcr2
SEU-ALLEN_local_201585_15273_25252_10277_CCFv3.swc,12267.3,3020.9,6903.95,fiber tracts,arb
SEU-ALLEN_local_201585_15274_15201_10004_CCFv3.swc,11541.375,3416.125,2239.35,AN,ANcr2
SEU-ALLEN_local_201585_15274_28828_9630_CCFv3.swc,11490.075,3077.675,8591.125,AN,ANcr1
SEU-ALLEN_local_201585_15275_14508_9943_CCFv3.swc,11441.225,3421.4,1904.375,AN,ANcr2
SEU-ALLEN_local_201585_15275_20155_10855_CCFv3.swc,12961.125,2956.375,4382.05,PRM,PRM
SEU-ALLEN_local_201585_15277_17278_9523_CCFv3.swc,10909.225,3473.075,3382.65,SIM,SIM
SEU-ALLEN_local_201585_15277_29502_9446_CCFv3.swc,11244.475,3092.25,8937.65,AN,ANcr1
SEU-ALLEN_local_201585_15278_15529_9410_CCFv3.swc,10699.675,3515.025,2547.5,SIM,SIM
SEU-ALLEN_local_201585_15278_20493_10943_CCFv3.swc,13087.25,2904.8,4523.475,FOTU,FOTU
SEU-ALLEN_local_201585_15278_28874_9300_CCFv3.swc,11000.5,3140.5,8623.25,SIM,SIM
SEU-ALLEN_local_201585_15279_17081_9317_CCFv3.swc,10617.575,3496.175,3326.0,CUL,"CUL4, 5"
SEU-ALLEN_local_201585_15279_22487_10802_CCFv3.swc,12865.4,2889.05,5526.15,FOTU,FOTU
SEU-ALLEN_local_201585_15279_27615_9647_CCFv3.swc,11473.05,3113.05,7992.3,fiber tracts,arb
SEU-ALLEN_local_201585_15280_22862_10772_CCFv3.swc,12831.0,2891.125,5718.2,FOTU,FOTU
SEU-ALLEN_local_201585_15281_27019_10363_CCFv3.swc,12517.225,2942.5,7745.7,AN,ANcr2
SEU-ALLEN_local_201585_15281_28003_9286_CCFv3.swc,10952.125,3165.95,8192.601,SIM,SIM
SEU-ALLEN_local_201585_15282_27900_9152_CCFv3.swc,10758.125,3190.5,8150.875,SIM,SIM
SEU-ALLEN_local_201585_15282_28751_9337_CCFv3.swc,11049.85,3139.725,8559.825,SIM,SIM
SEU-ALLEN_local_201585_15283_17113_9698_CCFv3.swc,11149.85,3463.15,3274.525,fiber tracts,arb
SEU-ALLEN_local_201585_15284_23984_9566_CCFv3.swc,11206.726,3244.35,6352.225,CENT,CENT3
SEU-ALLEN_local_201585_15285_24517_10738_CCFv3.swc,12876.899,2868.675,6544.925,FOTU,FOTU
SEU-ALLEN_local_201585_15285_25290_10242_CCFv3.swc,12218.925,3038.2,6921.4,fiber tracts,arb
